symbol,atomic_number,boil,density,electron_affinity,electronegativity,element,group,heat,ionization_energy_1,ionization_energy_10,ionization_energy_11,ionization_energy_12,ionization_energy_13,ionization_energy_14,ionization_energy_15,ionization_energy_16,ionization_energy_17,ionization_energy_18,ionization_energy_19,ionization_energy_2,ionization_energy_20,ionization_energy_21,ionization_energy_22,ionization_energy_23,ionization_energy_24,ionization_energy_25,ionization_energy_26,ionization_energy_27,ionization_energy_28,ionization_energy_29,ionization_energy_3,ionization_energy_30,ionization_energy_4,ionization_energy_5,ionization_energy_6,ionization_energy_7,ionization_energy_8,ionization_energy_9,melt,name,period,radius_calc,radius_emp,radius_vdw,radius_covalent,radius_covalent_trip
Ba,56,2170.0,3.594,0.14462,0.89,Barium,2.0,0.204,502.9,,,,,,,,,,,965.2,,,,,,,,,,,3600.0,,,,,,,,1000.0,barium,6.0,253.0,215.0,268.0,198.0,149.0
La,57,3737.0,6.145,0.47,1.1,Lanthanum,,0.195,538.1,,,,,,,,,,,1067.0,,,,,,,,,,,1850.3,,4819.0,5940.0,,,,,1193.0,lanthanum,6.0,,195.0,,169.0,139.0
Ce,58,3716.0,6.77,0.57,1.12,Cerium,,0.192,534.4,,,,,,,,,,,1050.0,,,,,,,,,,,1949.0,,3547.0,6325.0,7490.0,,,,1068.0,cerium,6.0,,185.0,,,131.0
Pr,59,3793.0,6.773,0.962,1.13,Praseodymium,,0.193,527.0,,,,,,,,,,,1020.0,,,,,,,,,,,2086.0,,3761.0,5551.0,,,,,1208.0,praseodymium,6.0,247.0,185.0,,,128.0
Nd,60,3347.0,7.007,0.162,1.14,Neodymium,,0.19,533.1,,,,,,,,,,,1040.0,,,,,,,,,,,2130.0,,3900.0,,,,,,1297.0,neodymium,6.0,206.0,185.0,,,
Pm,61,3273.0,7.26,0.129,1.13,Promethium,,,540.0,,,,,,,,,,,1050.0,,,,,,,,,,,2150.0,,3970.0,,,,,,1315.0,promethium,6.0,205.0,185.0,,,
Sm,62,2067.0,7.52,0.162,1.17,Samarium,,0.197,544.5,,,,,,,,,,,1070.0,,,,,,,,,,,2260.0,,3990.0,,,,,,1345.0,samarium,6.0,238.0,185.0,,,
Eu,63,1802.0,5.243,0.116,1.2,Europium,,0.182,547.1,,,,,,,,,,,1085.0,,,,,,,,,,,2404.0,,4120.0,,,,,,1099.0,europium,6.0,231.0,185.0,,,
Gd,64,3546.0,7.895,0.137,1.2,Gadolinium,,0.236,593.4,,,,,,,,,,,1170.0,,,,,,,,,,,1990.0,,4250.0,,,,,,1585.0,gadolinium,6.0,233.0,180.0,,,132.0
Tb,65,3503.0,8.229,0.436,1.2,Terbium,,0.182,565.8,,,,,,,,,,,1110.0,,,,,,,,,,,2114.0,,3839.0,,,,,,1629.0,terbium,6.0,225.0,175.0,,,
Dy,66,2840.0,8.55,0.352,1.22,Dysprosium,,0.17,573.0,,,,,,,,,,,1130.0,,,,,,,,,,,2200.0,,3990.0,,,,,,1680.0,dysprosium,6.0,228.0,175.0,,,
Ho,67,2993.0,8.795,0.338,1.23,Holmium,,0.165,581.0,,,,,,,,,,,1140.0,,,,,,,,,,,2204.0,,4100.0,,,,,,1734.0,holmium,6.0,,175.0,,,
Er,68,3141.0,9.066,0.312,1.24,Erbium,,0.168,589.3,,,,,,,,,,,1150.0,,,,,,,,,,,2194.0,,4120.0,,,,,,1802.0,erbium,6.0,226.0,175.0,,,
Tm,69,2223.0,9.321,1.029,1.25,Thulium,,0.16,596.7,,,,,,,,,,,1160.0,,,,,,,,,,,2285.0,,4120.0,,,,,,1818.0,thulium,6.0,222.0,175.0,,,
Yb,70,1469.0,6.965,0.0,1.1,Ytterbium,,0.155,603.4,,,,,,,,,,,1174.8,,,,,,,,,,,2417.0,,4203.0,,,,,,1097.0,ytterbium,6.0,222.0,175.0,,,
Lu,71,3675.0,9.84,0.346,1.27,Lutetium,3.0,0.154,523.5,,,,,,,,,,,1340.0,,,,,,,,,,,2022.3,,4370.0,6445.0,,,,,1925.0,lutetium,6.0,217.0,175.0,,160.0,131.0
Hf,72,4876.0,13.31,0.114,1.3,Hafnium,4.0,0.144,658.5,,,,,,,,,,,1440.0,,,,,,,,,,,2250.0,,3216.0,,,,,,2506.0,hafnium,6.0,208.0,155.0,,150.0,122.0
Ta,73,5731.0,16.654,0.323,1.5,Tantalum,5.0,0.14,761.0,,,,,,,,,,,1500.0,,,,,,,,,,,,,,,,,,,3290.0,tantalum,6.0,200.0,145.0,,138.0,119.0
W,74,5828.0,19.25,0.81626,2.36,Tungsten,6.0,0.132,770.0,,,,,,,,,,,1700.0,,,,,,,,,,,,,,,,,,,3695.0,tungsten,6.0,193.0,135.0,,146.0,115.0
